Scrip,Portfolio ID,Stock Name,Qty
MBBL, NIBLQK742715, Mahalaxmi Bikas Bank Limited,12
MBBL, NIBLQK742715, Mahalaxmi Bikas Bank Limited,29
ADBL, NIBLQK742715, Agricultural Development Bank Limited,102
NBL, NIBLQK742715, Nepal Bank Limited,174
SANIMA, NIBLQK742715, Sanima Bank Limited,280
SBL, NIBLQK742715, Siddhartha Bank Limited,392
NUBL, NIBLQK742715, Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,35
NICL, NIBLQK742715, Neco Insurance Company Limited,19
SPIL, NIBLQK742715, Siddhartha Premier Insurance Limited,35
SPIL, NIBLQK742715, Siddhartha Premier Insurance Limited,100
SPIL, NIBLQK742715, Siddhartha Premier Insurance Limited,24
RNLI, NIBLQK742715, Reliable Nepal Life Insurance Ltd.,11
SNLI, NIBLQK742715, Sun Nepal Life Insurance Company Ltd.,10
SNLI, NIBLQK742715, Sun Nepal Life Insurance Company Ltd.,2
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,100
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,100
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,10
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,10
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,70
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,100
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,200
ULHC, NIBLQK742715, Upper Lohore Khola Hydropower Company Ltd.,10
SAHAS, NIBLQK742715, Sahas Urja Limited,150
TPC, NIBLQK742715, Terhathum Power Company Limited,100
HRL, NIBLQK742715, Himalayan Re-insurance Limited,20
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,211
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,39
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,6
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,33
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,200
SHPC, NIBLQK742715, Sanima Mai Hydropower Limited,11
PURE, NIBLQK742715, Pure Energy Limited,10
TTL, NIBLQK742715, Trade Tower Ltd,10
ICFC, NIBLQK742715, ICFC Finance Limited,2
ICFC, NIBLQK742715, ICFC Finance Limited,98
SAGAR, NIBLQK742715, Sagar Distillery Limited,10
NICL, NIBLQK742715, Neco Insurance Company Limited,1
SAIL, NIBLQK742715, Shreenagar Agritech Industries Limited,10
HBL, NIBLQK742715, Himalayan Bank Limited,10
SNLI, NIBLQK742715, Sun Nepal Life Insurance Company Ltd.,1
CLI, NIBLQK742715, Citizen Life Insurance Company Ltd.,10
CLI, NIBLQK742715, Citizen Life Insurance Company Ltd.,3
SALICO, NIBLQK742715, Sagarmatha Lumbini Insurance Company Limited,8
ICFC, NIBLQK742715, ICFC Finance Limited,50
