Portfolio_ID,Val_Date,Vch_ID,Transaction_Name,Credit_Amount
NIBLQK742715,2024-03-22,CASH_LINK_3,Payment,15472.09
NIBLQK742715,2024-12-12,AUTO_PAY_3,Payment,16110.02
NIBLQK742715,2024-09-15,AUTO_PAY_7,Payment,14030.28
NIBLQK742715,2024-02-17,AUTO_PAY_6,Payment,8279.57
NIBLQK742715,2024-11-17,CASH_UN_22,FPO Settlement,29290.26
NIBLQK742715,2024-03-28,CASH_UN_29,Miscellaneous Expenses,36727.21
NIBLQK742715,2024-07-12,CASH_UN_21,Miscellaneous Income,28049.99
NIBLQK742715,2024-11-23,AUTO_PAY_0,Payment,6669.97
NIBLQK742715,2024-04-29,CASH_UN_25,Miscellaneous Income,19626.19
NIBLQK742715,2024-03-12,AUTO_PAY_2,Payment,16047.07
NIBLQK742715,2024-08-20,CASH_UN_26,FPO Settlement,8970.05
NIBLQK742715,2024-08-04,AUTO_PAY_5,Payment,5476.74
NIBLQK742715,2024-08-23,CASH_UN_20,Miscellaneous Expenses,7116.48
NIBLQK742715,2024-11-28,AUTO_PAY_9,Payment,15519.87
NIBLQK742715,2024-06-21,SPLIT_PAY_1,Payment,12000.0
NIBLQK742715,2024-04-20,SPLIT_PAY_0,Payment,12000.0
NIBLQK742715,2024-08-02,CASH_LINK_0,Payment,8306.61
NIBLQK742715,2024-05-20,AUTO_PAY_1,Payment,8673.38
NIBLQK742715,2024-01-04,CASH_LINK_2,Payment,16382.11
NIBLQK742715,2024-12-26,CASH_UN_23,Miscellaneous Income,3245.39
NIBLQK742715,2024-12-25,CASH_UN_28,Miscellaneous Income,30847.42
NIBLQK742715,2024-10-14,AUTO_PAY_8,Payment,7982.56
NIBLQK742715,2024-06-30,CASH_UN_27,Bank Interest Receive,33838.58
NIBLQK742715,2024-10-06,AUTO_PAY_4,Payment,6304.08
NIBLQK742715,2024-06-23,CASH_LINK_4,Payment,9168.07
NIBLQK742715,2024-04-26,CASH_UN_24,FPO Apply,49275.85
NIBLQK742715,2024-10-28,CASH_LINK_1,Payment,9172.86
NIBLQK742715,2024-02-22,SPLIT_PAY_2,Payment,12000.0
NIBLQK742715,2024-06-25,CASH_UN_19,FPO Apply,40549.29
NIBLQK742715,2024-02-17,CASH_UN_18,Stock Purchase,5739.1
